HG00096	EUR	GBR	male
HG00097	EUR	GBR	female
HG00099	EUR	GBR	female
HG00100	EUR	GBR	female
HG00101	EUR	GBR	male
HG00102	EUR	GBR	female
HG00103	EUR	GBR	male
HG00105	EUR	GBR	male
HG00106	EUR	GBR	female
HG00107	EUR	GBR	male
HG00108	EUR	GBR	male
HG00109	EUR	GBR	male
HG00110	EUR	GBR	female
HG00111	EUR	GBR	female
HG00112	EUR	GBR	male
HG00113	EUR	GBR	male
HG00114	EUR	GBR	male
HG00115	EUR	GBR	male
HG00116	EUR	GBR	male
HG00117	EUR	GBR	male
HG00118	EUR	GBR	female
HG00119	EUR	GBR	male
HG00120	EUR	GBR	female
HG00121	EUR	GBR	female
HG00122	EUR	GBR	female
HG00123	EUR	GBR	female
HG00125	EUR	GBR	female
HG00126	EUR	GBR	male
HG00127	EUR	GBR	female
HG00128	EUR	GBR	female
HG00129	EUR	GBR	male
HG00130	EUR	GBR	female
HG00131	EUR	GBR	male
HG00132	EUR	GBR	female
HG00133	EUR	GBR	female
HG00136	EUR	GBR	male
HG00137	EUR	GBR	female
HG00138	EUR	GBR	male
HG00139	EUR	GBR	male
HG00140	EUR	GBR	male
HG00141	EUR	GBR	male
HG00142	EUR	GBR	male
HG00143	EUR	GBR	male
HG00145	EUR	GBR	male
HG00146	EUR	GBR	female
HG00148	EUR	GBR	male
HG00149	EUR	GBR	male
HG00150	EUR	GBR	female
HG00151	EUR	GBR	male
HG00154	EUR	GBR	female
HG00155	EUR	GBR	male
HG00157	EUR	GBR	male
HG00158	EUR	GBR	female
HG00159	EUR	GBR	male
HG00160	EUR	GBR	male
HG00171	EUR	FIN	female
HG00173	EUR	FIN	female
HG00174	EUR	FIN	female
HG00176	EUR	FIN	female
HG00177	EUR	FIN	female
HG00178	EUR	FIN	female
HG00179	EUR	FIN	female
HG00180	EUR	FIN	female
HG00181	EUR	FIN	male
HG00182	EUR	FIN	male
HG00183	EUR	FIN	male
HG00185	EUR	FIN	male
HG00186	EUR	FIN	male
HG00187	EUR	FIN	male
HG00188	EUR	FIN	male
HG00189	EUR	FIN	male
HG00190	EUR	FIN	male
HG00231	EUR	GBR	female
HG00232	EUR	GBR	female
HG00233	EUR	GBR	female
HG00234	EUR	GBR	male
HG00235	EUR	GBR	female
HG00236	EUR	GBR	female
HG00237	EUR	GBR	female
HG00238	EUR	GBR	female
HG00239	EUR	GBR	female
HG00240	EUR	GBR	female
HG00242	EUR	GBR	male
HG00243	EUR	GBR	male
HG00244	EUR	GBR	male
HG00245	EUR	GBR	female
HG00246	EUR	GBR	male
HG00250	EUR	GBR	female
HG00251	EUR	GBR	male
HG00252	EUR	GBR	male
HG00253	EUR	GBR	female
HG00254	EUR	GBR	female
HG00255	EUR	GBR	female
HG00256	EUR	GBR	male
HG00257	EUR	GBR	female
HG00258	EUR	GBR	female
HG00259	EUR	GBR	female
HG00260	EUR	GBR	male
HG00261	EUR	GBR	female
HG00262	EUR	GBR	female
HG00263	EUR	GBR	female
HG00264	EUR	GBR	male
HG00265	EUR	GBR	male
HG00266	EUR	FIN	female
HG00267	EUR	FIN	male
HG00268	EUR	FIN	female
HG00269	EUR	FIN	female
HG00271	EUR	FIN	male
HG00272	EUR	FIN	female
HG00273	EUR	FIN	male
HG00274	EUR	FIN	female
HG00275	EUR	FIN	female
HG00276	EUR	FIN	female
HG00277	EUR	FIN	male
HG00278	EUR	FIN	male
HG00280	EUR	FIN	male
HG00281	EUR	FIN	female
HG00282	EUR	FIN	female
HG00284	EUR	FIN	male
HG00285	EUR	FIN	female
HG00288	EUR	FIN	female
HG00290	EUR	FIN	male
HG00304	EUR	FIN	female
HG00306	EUR	FIN	female
HG00308	EUR	FIN	male
HG00309	EUR	FIN	female
HG00310	EUR	FIN	male
HG00311	EUR	FIN	male
HG00313	EUR	FIN	female
HG00315	EUR	FIN	female
HG00318	EUR	FIN	female
HG00319	EUR	FIN	female
HG00320	EUR	FIN	female
HG00321	EUR	FIN	male
HG00323	EUR	FIN	female
HG00324	EUR	FIN	female
HG00325	EUR	FIN	male
HG00326	EUR	FIN	female
HG00327	EUR	FIN	female
HG00328	EUR	FIN	female
HG00329	EUR	FIN	male
HG00330	EUR	FIN	female
HG00331	EUR	FIN	female
HG00332	EUR	FIN	female
HG00334	EUR	FIN	female
HG00335	EUR	FIN	male
HG00336	EUR	FIN	male
HG00337	EUR	FIN	female
HG00338	EUR	FIN	male
HG00339	EUR	FIN	female
HG00341	EUR	FIN	male
HG00342	EUR	FIN	male
HG00343	EUR	FIN	female
HG00344	EUR	FIN	female
HG00345	EUR	FIN	male
HG00346	EUR	FIN	female
HG00349	EUR	FIN	female
HG00350	EUR	FIN	female
HG00351	EUR	FIN	male
HG00353	EUR	FIN	female
HG00355	EUR	FIN	female
HG00356	EUR	FIN	female
HG00357	EUR	FIN	female
HG00358	EUR	FIN	male
HG00360	EUR	FIN	male
HG00361	EUR	FIN	female
HG00362	EUR	FIN	female
HG00364	EUR	FIN	female
HG00365	EUR	FIN	female
HG00366	EUR	FIN	male
HG00367	EUR	FIN	female
HG00368	EUR	FIN	female
HG00369	EUR	FIN	male
HG00371	EUR	FIN	male
HG00372	EUR	FIN	male
HG00373	EUR	FIN	female
HG00375	EUR	FIN	male
HG00376	EUR	FIN	female
HG00378	EUR	FIN	female
HG00379	EUR	FIN	female
HG00380	EUR	FIN	female
HG00381	EUR	FIN	female
HG00382	EUR	FIN	male
HG00383	EUR	FIN	female
HG00384	EUR	FIN	female
HG00403	EAS	CHS	male
HG00404	EAS	CHS	female
HG00406	EAS	CHS	male
HG00407	EAS	CHS	female
HG00409	EAS	CHS	male
HG00410	EAS	CHS	female
HG00419	EAS	CHS	female
HG00421	EAS	CHS	male
HG00422	EAS	CHS	female
HG00428	EAS	CHS	female
HG00436	EAS	CHS	male
HG00437	EAS	CHS	female
HG00442	EAS	CHS	male
HG00443	EAS	CHS	female
HG00445	EAS	CHS	male
HG00446	EAS	CHS	female
HG00448	EAS	CHS	male
HG00449	EAS	CHS	female
HG00451	EAS	CHS	male
HG00452	EAS	CHS	female
HG00457	EAS	CHS	male
HG00458	EAS	CHS	female
HG00463	EAS	CHS	male
HG00464	EAS	CHS	female
HG00472	EAS	CHS	male
HG00473	EAS	CHS	female
HG00475	EAS	CHS	male
HG00476	EAS	CHS	female
HG00478	EAS	CHS	male
HG00479	EAS	CHS	female
HG00500	EAS	CHS	male
HG00513	EAS	CHS	female
HG00524	EAS	CHS	male
HG00525	EAS	CHS	female
HG00530	EAS	CHS	male
HG00531	EAS	CHS	female
HG00533	EAS	CHS	male
HG00534	EAS	CHS	female
HG00536	EAS	CHS	male
HG00537	EAS	CHS	female
HG00542	EAS	CHS	male
HG00543	EAS	CHS	female
HG00551	AMR	PUR	female
HG00553	AMR	PUR	male
HG00554	AMR	PUR	female
HG00556	EAS	CHS	male
HG00557	EAS	CHS	female
HG00559	EAS	CHS	male
HG00560	EAS	CHS	female
HG00565	EAS	CHS	male
HG00566	EAS	CHS	female
HG00580	EAS	CHS	male
HG00581	EAS	CHS	female
HG00583	EAS	CHS	male
HG00584	EAS	CHS	female
HG00589	EAS	CHS	male
HG00590	EAS	CHS	female
